"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000168878.16",12.5203181484605,0.0570724828062295,150.996122566177,0,0
"ENSG00000122852.14",11.7912009637486,-1.23576080533225,116.529870447849,0,0
"ENSG00000185303.16",11.1021404238182,0.187606355242848,109.690412326278,0,0
"ENSG00000168484.12",10.7342541202983,1.34372312867747,115.70695644527,0,0
"ENSG00000157765.11",10.2280777568408,-1.08900548852348,161.88920188165,0,0
"ENSG00000086548.8",10.0485285035251,-2.18901178863858,214.139665241525,0,0
"ENSG00000121075.9",10.010675630262,-3.60244145212046,291.414039812549,0,0
"ENSG00000166961.14",9.47140528199232,-4.19099064502671,222.686963523483,0,0
"ENSG00000164265.8",9.38847061860444,-4.07783702111633,166.553240947945,0,0
"ENSG00000229415.9",9.37914919585901,-2.16574757742004,158.600324270267,0,0
